name,description,url,image,section,target,archived
Pre School Activities 08/06/20,Pre School learning from home activities,/worksheets/pre-school-activities-200608.pdf,pilgrims.jpg,school,_blank,no
Pre School Additional Activities 01/06/20,Pre School additional activities to support your child's learning for a two week block.  ,/worksheets/pre-school-additional-activities-200601.pdf,pilgrims.jpg,school,_blank,no
X Powerpoint,Letter X presentation for phonics 'X' activities for week of 08/06/20,/worksheets/x-powerpoint.pdf,x-powerpoint.png,school,_blank,no
Funny Bones Height Ordering,Support activity sheet,/worksheets/funny-bones-height-ordering.pdf,funny-bones-height-ordering.png,school,_blank,no
Join the Ryhming Words,Support activity sheet,/worksheets/join-the-rhyming-words.pdf,join-the-rhyming-words.png,school,_blank,no
Pre School Activities 01/06/20,Pre School learning from home activities,/worksheets/pre-school-activities-200601.pdf,pilgrims.jpg,school,_blank,yes
Pre School Additional Activities 01/06/20,Pre School additional activities to support your child's learning for a two week block.  ,/worksheets/pre-school-additional-activities-200601.pdf,pilgrims.jpg,school,_blank,yes
W Powerpoint,Letter W presentation for phonics 'W' activities for week of 01/06/20,/worksheets/w-powerpoint.pdf,w-powerpoint.png,school,_blank,yes
Peg Word Phonics,Support activity sheet,/worksheets/peg-word-phonics.pdf,peg-word-phonics.png,school,_blank,yes
Dinosaur Number Formation,Support activity sheet,/worksheets/dinosaur-number-formation.pdf,dinosaur-number-formation.png,school,_blank,yes
Weather Chart and Symbols,Support activity sheet,/worksheets/weather-chart-and-symbols.pdf,weather-chart-and-symbols.png,school,_blank,yes
Pre School Activities 11/05/20,Pre School learning from home activities,/worksheets/pre-school-activities-200511.pdf,pilgrims.jpg,school,_blank,yes
Pre School Activities 18/05/20,Pre School learning from home activities,/worksheets/pre-school-activities-200518.pdf,pilgrims.jpg,school,_blank,yes
Pre School Additional Activities 11/05/20,Pre School additional activities to support your child's learning for a two week block.  ,/worksheets/pre-school-additional-activities-200511.pdf,pilgrims.jpg,school,_blank,yes
V Powerpoint,Letter V presentation for phonics 'V' activities for week of 18/05/20,/worksheets/v-powerpoint.pdf,v-powerpoint.png,school,_blank,yes
J Powerpoint,Letter J presentation for phonics 'J' activities for week of 11/05/20,/worksheets/j-powerpoint.pdf,j-powerpoint.png,school,_blank,yes
Feed Metal Mike,Support activity sheet,/worksheets/feed-metal-mike.pdf,feed-metal-mike.png,school,_blank,yes
Scavenger Hunt,Support activity sheet,/worksheets/scavenger-hunt.pdf,scavenger-hunt.png,school,_blank,yes
Shape Hunt,Support activity sheet,/worksheets/shape-hunt.pdf,shape-hunt.png,school,_blank,yes
Pre School Activities 04/05/20,Pre School learning from home activities,/worksheets/pre-school-activities-200504.pdf,pilgrims.jpg,school,_blank,yes
Pre School Additional Activities 27/04/20,Pre School additional activities to support your child's learning for a two week block.  ,/worksheets/pre-school-additional-activities-200427.pdf,pilgrims.jpg,school,_blank,yes
L Powerpoint,Letter L presentation for phonics 'L' activities for week of 04/05/20,/worksheets/l-powerpoint.pdf,l-powerpoint.png,school,_blank,yes
Jolly Phonics Set 1,"Jolly Phonics s,a, t, p, I and n flash cards",/worksheets/jp-set-1.pdf,jp-set-1.png,school,_blank,no
Jolly Phonics Set 2,"Jolly Phonics m, d, g, o, c and k flash cards",/worksheets/jp-set-2.pdf,jp-set-2.png,school,_blank,no
Jolly Phonics Set 3,"Jolly Phonics e, u,r, h, b and f flash cards",/worksheets/jp-set-3.pdf,jp-set-3.png,school,_blank,no
Handwriting Template Generator,Generate your own handwriting templates,/apps/handwriting,handwriting-generator.png,school,_self,no
Number Formation Template,Template to help with number formation,/worksheets/handwriting/numbers.pdf,handwriting-numbers.png,school,_blank,no
HTW Letter Formation Guide,Letter formation guide for parents,/worksheets/letter-formation-guide-for-parents.pdf,letter-formation.png,school,_blank,no
Pre School Activities 20/04/20,Pre School learning from home activities,/worksheets/pre-school-activities-200420.pdf,pilgrims.jpg,school,_blank,yes
Pre School Additional Activities 20/04/20,Pre School additional activities to support your child's learning for a two week block.  ,/worksheets/pre-school-additional-activities-200420.pdf,pilgrims.jpg,school,_blank,yes
Handwriting Letter B,Letter B handwriting template,/worksheets/handwriting/b.pdf,letter-b.png,school,_blank,yes
Bats and Balls Presentation,Bats and balls presentation for phonics 'B' activites for 20/04/20,/worksheets/bats-and-balls-wb20042020.pdf,bats-and-balls.png,school,_blank,yes
How Many Legs,Numeracy activity How Many Legs for week of 27/04/20,/worksheets/how-many-legs.pdf,how-many-legs.png,school,_blank,yes
F Powerpoint,Letter F presentation for phonics 'F' activities for week of 27/04/20,/worksheets/f-powerpoint.pdf,f-powerpoint.png,school,_blank,yes
Pre School Activities 27/04/20,Pre School learning from home activities,/worksheets/pre-school-activities-200427.pdf,pilgrims.jpg,school,_blank,yes
Pre School Activities 06/04/20,Pre School learning from home activities,/worksheets/pre-school-activities-200406.pdf,pilgrims.jpg,school,_blank,yes
Pre School Additional Activities 06/04/20,Pre School additional activities to support your child's learning for a two week block.  ,/worksheets/pre-school-additional-activities-200406.pdf,pilgrims.jpg,school,_blank,yes
